iter	Passed	Remaining
0	19	19827
1	34	17324
2	52	17377
3	70	17622
4	89	17881
5	106	17641
6	120	17047
7	137	17066
8	155	17097
9	172	17112
10	196	17655
11	215	17734
12	234	17791
13	253	17877
14	268	17646
15	286	17619
16	302	17492
17	319	17440
18	335	17309
19	353	17299
20	378	17647
21	395	17589
22	412	17507
23	429	17473
24	446	17402
25	459	17230
26	476	17180
27	490	17019
28	506	16953
29	524	16948
30	539	16853
31	555	16788
32	568	16649
33	582	16540
34	594	16394
35	610	16339
36	628	16364
37	641	16241
38	657	16211
39	673	16174
40	690	16154
41	703	16046
42	719	16018
43	738	16052
44	756	16064
45	771	15991
46	794	16114
47	811	16097
48	828	16074
49	846	16091
50	864	16094
51	878	16020
52	896	16018
53	916	16050
54	931	16000
55	948	15993
56	967	16006
57	985	16010
58	1005	16029
59	1018	15962
60	1036	15952
61	1053	15932
62	1070	15923
63	1088	15912
64	1113	16011
65	1130	15998
66	1150	16026
67	1168	16018
68	1189	16052
69	1208	16061
70	1228	16076
71	1244	16044
72	1263	16049
73	1286	16102
74	1307	16120
75	1325	16113
76	1344	16122
77	1364	16125
78	1386	16167
79	1407	16181
80	1425	16172
81	1441	16139
82	1457	16108
83	1476	16106
84	1495	16097
85	1514	16096
86	1530	16060
87	1549	16062
88	1567	16040
89	1587	16046
90	1605	16038
91	1628	16073
92	1645	16045
93	1662	16023
94	1680	16009
95	1698	15997
96	1712	15944
97	1732	15942
98	1749	15923
99	1764	15881
100	1779	15836
101	1798	15830
102	1825	15901
103	1841	15866
104	1865	15898
105	1886	15911
106	1916	15995
107	1933	15969
108	1963	16046
109	1982	16036
110	2005	16065
111	2027	16075
112	2048	16078
113	2068	16072
114	2082	16027
115	2102	16022
116	2121	16009
117	2139	15990
118	2159	15987
119	2174	15943
120	2190	15914
121	2211	15914
122	2232	15914
123	2248	15886
124	2270	15892
125	2288	15872
126	2309	15876
127	2327	15855
128	2345	15839
129	2363	15814
130	2380	15790
131	2400	15782
132	2418	15762
133	2433	15729
134	2448	15687
135	2464	15658
136	2484	15648
137	2504	15641
138	2520	15611
139	2537	15585
140	2556	15576
141	2578	15580
142	2599	15578
143	2618	15566
144	2636	15547
145	2654	15525
146	2674	15516
147	2694	15511
148	2714	15505
149	2734	15498
150	2755	15492
151	2777	15497
152	2798	15489
153	2818	15481
154	2837	15468
155	2854	15444
156	2873	15431
157	2893	15419
158	2913	15409
159	2933	15401
160	2954	15396
161	2974	15387
162	2994	15377
163	3014	15364
164	3033	15349
165	3052	15336
166	3071	15323
167	3091	15311
168	3109	15291
169	3132	15293
170	3151	15278
171	3166	15244
172	3184	15222
173	3200	15193
174	3218	15173
175	3237	15156
176	3255	15135
177	3273	15115
